"assay_date"	"CEL.file"
2011-11-22	"GSM1466580_43CD.CEL"
2011-11-22	"GSM1466580_43CD.CEL"
2011-11-22	"GSM1466581_43HFD.CEL"
2011-11-22	"GSM1466581_43HFD.CEL"
2011-11-22	"GSM1466582_44CD.CEL"
2011-11-22	"GSM1466582_44CD.CEL"
2011-11-22	"GSM1466583_44HFD.CEL"
2011-11-22	"GSM1466583_44HFD.CEL"
2012-08-08	"GSM1466584_45CD.CEL"
2012-08-08	"GSM1466584_45CD.CEL"
2011-11-22	"GSM1466585_45HFD.CEL"
2011-11-22	"GSM1466585_45HFD.CEL"
2012-08-08	"GSM1466586_48CD.CEL"
2012-08-08	"GSM1466586_48CD.CEL"
2012-08-08	"GSM1466587_48HFD.CEL"
2012-08-08	"GSM1466587_48HFD.CEL"
2012-08-07	"GSM1466588_49CD.CEL"
2012-08-07	"GSM1466588_49CD.CEL"
2012-08-07	"GSM1466589_49HFD.CEL"
2012-08-07	"GSM1466589_49HFD.CEL"
2012-08-07	"GSM1466590_50CD.CEL"
2012-08-07	"GSM1466590_50CD.CEL"
2011-11-22	"GSM1466591_51CD.CEL"
2011-11-22	"GSM1466591_51CD.CEL"
2011-11-22	"GSM1466592_51HFD.CEL"
2011-11-22	"GSM1466592_51HFD.CEL"
2012-08-08	"GSM1466593_55CD.CEL"
2012-08-08	"GSM1466593_55CD.CEL"
2012-08-08	"GSM1466594_55HFD.CEL"
2012-08-08	"GSM1466594_55HFD.CEL"
2012-08-08	"GSM1466595_56CD.CEL"
2012-08-08	"GSM1466595_56CD.CEL"
2012-08-08	"GSM1466596_56HFD.CEL"
2012-08-08	"GSM1466596_56HFD.CEL"
2011-11-22	"GSM1466597_60CD.CEL"
2011-11-22	"GSM1466597_60CD.CEL"
2011-11-22	"GSM1466598_61CD.CEL"
2011-11-22	"GSM1466598_61CD.CEL"
2011-11-22	"GSM1466599_61HFD.CEL"
2011-11-22	"GSM1466599_61HFD.CEL"
2012-08-07	"GSM1466600_62CD.CEL"
2012-08-07	"GSM1466600_62CD.CEL"
2011-11-22	"GSM1466601_62HFD.CEL"
2011-11-22	"GSM1466601_62HFD.CEL"
2011-11-22	"GSM1466602_63CD.CEL"
2011-11-22	"GSM1466602_63CD.CEL"
2011-11-22	"GSM1466603_63HFD.CEL"
2011-11-22	"GSM1466603_63HFD.CEL"
2012-08-07	"GSM1466604_64CD.CEL"
2012-08-07	"GSM1466604_64CD.CEL"
2012-08-07	"GSM1466605_64HFD.CEL"
2012-08-07	"GSM1466605_64HFD.CEL"
