sample_ID_EPFL	Sample name	title	CEL file	source name	organism	characteristics: organism_NCBI_txid	characteristics: strain	characteristics: genotype_qc	characteristics: sex	characteristics: age	characteristics: diet_ID	characteristics: diet_description	characteristics: dietary_intervention	characteristics: diet_composition	characteristics: diet_REF	characteristics: tissue	characteristics: tissue_REF	characteristics: sample_processing_batch	characteristics: extracted_RNA_concentration	characteristics: extracted_RNA_concentration_unit	characteristics: assay_date	characteristics: notes	characteristics: geo_accession	platform	molecule	label	description	solvent	platform_name	data
BXD43_CD_quadriceps	GSM1466580_43CD.CEL	BXD43-quadriceps-CD	GSM1466580_43CD.CEL.gz	quadriceps, chow diet	Mus musculus	10090	BXD43	pass	male	29 weeks	CD	chow diet	Mice were fed a chow diet (CD) ad libitum through their entire life.	fat: 6% kCal, protein: 20% kCal, carbohydrates: 74% kCal	Harlan, 2018, Indianapolis, IN, USA	quadriceps	http://purl.obolibrary.org/obo/MA_0002363	Nov11	253	ng/uL	2011-11-22		GSM1466580	GPL6246	total RNA	biotin	Gene expression data from pooled RNA extract of quadriceps samples collected on 29 weeks old male BXD43 mice fed on chow diet	RNAse-free water	Affymetrix Mouse Gene 1.0 ST Array	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1466nnn/GSM1466580/suppl/GSM1466580_43CD.CEL.gz
BXD43_HFD_quadriceps	GSM1466581_43HFD.CEL	BXD43-quadriceps-HFD	GSM1466581_43HFD.CEL.gz	quadriceps, high fat diet	Mus musculus	10090	BXD43	pass	male	29 weeks	HFD	high fat diet	Mice were fed a chow diet (CD) ad libitum until 8 weeks of age. From 8 weeks until heuthanasia, mice were then fed a high-fat diet (HFD) ad libitum.	fat: 60% kCal, protein: 20% kCal	Harlan, 06414, Indianapolis, IN, USA	quadriceps	http://purl.obolibrary.org/obo/MA_0002363	Nov11	110	ng/uL	2011-11-22		GSM1466581	GPL6246	total RNA	biotin	Gene expression data from pooled RNA extract of quadriceps samples collected on 29 weeks old male BXD43 mice fed on high fat diet	RNAse-free water	Affymetrix Mouse Gene 1.0 ST Array	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1466nnn/GSM1466581/suppl/GSM1466581_43HFD.CEL.gz
BXD44_CD_quadriceps	GSM1466582_44CD.CEL	BXD44-quadriceps-CD	GSM1466582_44CD.CEL.gz	quadriceps, chow diet	Mus musculus	10090	BXD44	pass	male	29 weeks	CD	chow diet	Mice were fed a chow diet (CD) ad libitum through their entire life.	fat: 6% kCal, protein: 20% kCal, carbohydrates: 74% kCal	Harlan, 2018, Indianapolis, IN, USA	quadriceps	http://purl.obolibrary.org/obo/MA_0002363	Nov11	43	ng/uL	2011-11-22		GSM1466582	GPL6246	total RNA	biotin	Gene expression data from pooled RNA extract of quadriceps samples collected on 29 weeks old male BXD44 mice fed on chow diet	RNAse-free water	Affymetrix Mouse Gene 1.0 ST Array	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1466nnn/GSM1466582/suppl/GSM1466582_44CD.CEL.gz
BXD44_HFD_quadriceps	GSM1466583_44HFD.CEL	BXD44-quadriceps-HFD	GSM1466583_44HFD.CEL.gz	quadriceps, high fat diet	Mus musculus	10090	BXD44	pass	male	29 weeks	HFD	high fat diet	Mice were fed a chow diet (CD) ad libitum until 8 weeks of age. From 8 weeks until heuthanasia, mice were then fed a high-fat diet (HFD) ad libitum.	fat: 60% kCal, protein: 20% kCal	Harlan, 06414, Indianapolis, IN, USA	quadriceps	http://purl.obolibrary.org/obo/MA_0002363	Nov11	63	ng/uL	2011-11-22		GSM1466583	GPL6246	total RNA	biotin	Gene expression data from pooled RNA extract of quadriceps samples collected on 29 weeks old male BXD44 mice fed on high fat diet	RNAse-free water	Affymetrix Mouse Gene 1.0 ST Array	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1466nnn/GSM1466583/suppl/GSM1466583_44HFD.CEL.gz
BXD45_CD_quadriceps	GSM1466584_45CD.CEL	BXD45-quadriceps-CD	GSM1466584_45CD.CEL.gz	quadriceps, chow diet	Mus musculus	10090	BXD45	pass	male	29 weeks	CD	chow diet	Mice were fed a chow diet (CD) ad libitum through their entire life.	fat: 6% kCal, protein: 20% kCal, carbohydrates: 74% kCal	Harlan, 2018, Indianapolis, IN, USA	quadriceps	http://purl.obolibrary.org/obo/MA_0002363	Aug12	44	ng/uL	2012-08-08		GSM1466584	GPL6246	total RNA	biotin	Gene expression data from pooled RNA extract of quadriceps samples collected on 29 weeks old male BXD45 mice fed on chow diet	RNAse-free water	Affymetrix Mouse Gene 1.0 ST Array	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1466nnn/GSM1466584/suppl/GSM1466584_45CD.CEL.gz
BXD45_HFD_quadriceps	GSM1466585_45HFD.CEL	BXD45-quadriceps-HFD	GSM1466585_45HFD.CEL.gz	quadriceps, high fat diet	Mus musculus	10090	BXD45	pass	male	29 weeks	HFD	high fat diet	Mice were fed a chow diet (CD) ad libitum until 8 weeks of age. From 8 weeks until heuthanasia, mice were then fed a high-fat diet (HFD) ad libitum.	fat: 60% kCal, protein: 20% kCal	Harlan, 06414, Indianapolis, IN, USA	quadriceps	http://purl.obolibrary.org/obo/MA_0002363	Nov11	89	ng/uL	2011-11-22		GSM1466585	GPL6246	total RNA	biotin	Gene expression data from pooled RNA extract of quadriceps samples collected on 29 weeks old male BXD45 mice fed on high fat diet	RNAse-free water	Affymetrix Mouse Gene 1.0 ST Array	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1466nnn/GSM1466585/suppl/GSM1466585_45HFD.CEL.gz
BXD48_CD_quadriceps	GSM1466586_48CD.CEL	BXD48-quadriceps-CD	GSM1466586_48CD.CEL.gz	quadriceps, chow diet	Mus musculus	10090	BXD48	pass	male	29 weeks	CD	chow diet	Mice were fed a chow diet (CD) ad libitum through their entire life.	fat: 6% kCal, protein: 20% kCal, carbohydrates: 74% kCal	Harlan, 2018, Indianapolis, IN, USA	quadriceps	http://purl.obolibrary.org/obo/MA_0002363	Aug12			2012-08-08		GSM1466586	GPL6246	total RNA	biotin	Gene expression data from pooled RNA extract of quadriceps samples collected on 29 weeks old male BXD48 mice fed on chow diet	RNAse-free water	Affymetrix Mouse Gene 1.0 ST Array	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1466nnn/GSM1466586/suppl/GSM1466586_48CD.CEL.gz
BXD48_HFD_quadriceps	GSM1466587_48HFD.CEL	BXD48-quadriceps-HFD	GSM1466587_48HFD.CEL.gz	quadriceps, high fat diet	Mus musculus	10090	BXD48	pass	male	29 weeks	HFD	high fat diet	Mice were fed a chow diet (CD) ad libitum until 8 weeks of age. From 8 weeks until heuthanasia, mice were then fed a high-fat diet (HFD) ad libitum.	fat: 60% kCal, protein: 20% kCal	Harlan, 06414, Indianapolis, IN, USA	quadriceps	http://purl.obolibrary.org/obo/MA_0002363	Aug12			2012-08-08		GSM1466587	GPL6246	total RNA	biotin	Gene expression data from pooled RNA extract of quadriceps samples collected on 29 weeks old male BXD48 mice fed on high fat diet	RNAse-free water	Affymetrix Mouse Gene 1.0 ST Array	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1466nnn/GSM1466587/suppl/GSM1466587_48HFD.CEL.gz
BXD49_CD_quadriceps	GSM1466588_49CD.CEL	BXD49-quadriceps-CD	GSM1466588_49CD.CEL.gz	quadriceps, chow diet	Mus musculus	10090	BXD49	pass	male	29 weeks	CD	chow diet	Mice were fed a chow diet (CD) ad libitum through their entire life.	fat: 6% kCal, protein: 20% kCal, carbohydrates: 74% kCal	Harlan, 2018, Indianapolis, IN, USA	quadriceps	http://purl.obolibrary.org/obo/MA_0002363	Aug12			2012-08-07		GSM1466588	GPL6246	total RNA	biotin	Gene expression data from pooled RNA extract of quadriceps samples collected on 29 weeks old male BXD49 mice fed on chow diet	RNAse-free water	Affymetrix Mouse Gene 1.0 ST Array	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1466nnn/GSM1466588/suppl/GSM1466588_49CD.CEL.gz
BXD49_HFD_quadriceps	GSM1466589_49HFD.CEL	BXD49-quadriceps-HFD	GSM1466589_49HFD.CEL.gz	quadriceps, high fat diet	Mus musculus	10090	BXD49	pass	male	29 weeks	HFD	high fat diet	Mice were fed a chow diet (CD) ad libitum until 8 weeks of age. From 8 weeks until heuthanasia, mice were then fed a high-fat diet (HFD) ad libitum.	fat: 60% kCal, protein: 20% kCal	Harlan, 06414, Indianapolis, IN, USA	quadriceps	http://purl.obolibrary.org/obo/MA_0002363	Aug12			2012-08-07		GSM1466589	GPL6246	total RNA	biotin	Gene expression data from pooled RNA extract of quadriceps samples collected on 29 weeks old male BXD49 mice fed on high fat diet	RNAse-free water	Affymetrix Mouse Gene 1.0 ST Array	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1466nnn/GSM1466589/suppl/GSM1466589_49HFD.CEL.gz
