name	description	format	example
sample_ID_EPFL	Sample unique ID at EPFL	Free text	sample10
Sample name	Sample name	Free text	sample10
title	Sample title	Free text	C57BL/6J-liver-CD
CEL file	Sample CEL file	File name	sample10_CD_liver.CEL.gz
source name	Sample source short description	Free text	liver, chow diet
organism	Organism of origin	Organism scientific name	Mus musculus
characteristics: organism_NCBI_txid	Organism of origin	NCBI taxon ID	10090
characteristics: strain	Strain name	Free text	C57BL/6J
characteristics: genotype_qc	Genotype QC result. pass: strain is correctly assigned, fail: strain is incorrectly assigned, warning: see notes	pass|fail|warning	pass
characteristics: sex	Animal sex	male|female	male
characteristics: age	Animal age at sampling time	<int> weeks	29 weeks
characteristics: diet_ID	Diet ID	Free text	CD
characteristics: diet_description	Diet description	Free text	chow diet
characteristics: dietary_intervention	Dietary intervention description	Free text	Mice were fed a chow diet (CD) ad libitum through their entire life.
characteristics: diet_composition	Diet composition	Free text	fat: 6% kCal, protein: 20% kCal, carbohydrates: 74% kCal
characteristics: diet_REF	Diet manufacturer reference	Free text	Harlan, 2018, Indianapolis, IN, USA
characteristics: tissue	Tissue of origin	MA ontology term (http://purl.obolibrary.org/obo/ma.owl)	liver
characteristics: tissue_REF	MA ontology term IRI	URL	http://purl.obolibrary.org/obo/MA_0000358
characteristics: assay_date	Date of the assay	ISO:8601	2016-01-26
characteristics: notes	Notes	Free text	Genotype QC based on RNAseq revealed DBA/2J_HFD_0137 genotype is close to BXD61 and may have been mislabeled as DBA/2J
characteristics: geo_accession	GEO accession number	GSMXXXXXXX	GSM1234567
characteristics: extracted_RNA_concentration	Extracted RNA concentration	Number	200
characteristics: extracted_RNA_concentration_unit	Extracted RNA concentration unit	Concentration unit	ng/uL
characteristics: sample_processing_batch	Sample processing batch	Free text	batch1
platform	Platform GEO accession number	GPLXXXXX	GPL20258
molecule	Type of molecule that was extracted from the biological material	total RNA|polyA RNA|cytoplasmic RNA|nuclear RNA|genomic DNA|protein|other	total RNA
label	Compound used to label the extract	Free text	biotin
description	Additional information not provided in the other fields, or paste in broad descriptions that cannot be easily dissected into the other fields.	Free text	Gene expression data from pooled RNA extract of liver samples collected on 29 weeks old male C57BL6/J mice fed on chow diet
solvent	RNA sample solvent	Free text	water
platform_name	Microarray platform name	GEO platform title	Affymetrix Clariom S Assay, Mouse
data	Sample data location	URL	https://<server_address>:</path/to/sample_file.CEL>
